Species1	Species2	Distance
SACS2	GORGO	1.30358
GEOSL	LOTGI	1.25789
DESVV	AILME	1.24108
AMPQE	PELSI	1.01498
NOSA0	SETIT	0.98076
NITEU	SPIPN	1.10604
PYRHO	YARLI	1.25126
METTH	CANAW	1.20703
METFK	COPPD	1.17416
CHICK	POPTR	1.17911
MYOLU	NEUCR	1.08184
SYNAS	ANOCA	1.21428
ARCFU	BRADI	1.24796
TETNG	ORYSJ	1.18318
ECHTE	CRYPA	1.05927
TRIAD	MYCMG	1.27650
DESAS	TRICA	1.20955
HETAN	MACEU	1.10442
NEUCR	ARATH	1.18523
GLOVI	GASAC	1.21285
PYRHO	MEDTR	1.21176
CROS5	MACMU	1.23625
APIME	LEPOC	0.85168
AERHH	TOXGO	1.08832
CLOTE	SCHMA	1.28284
CALMQ	COCLU	1.39286
ANOGA	LOALO	0.93852
NEIG1	MOUSE	1.15450
AZOPC	ECHTE	1.14894
THEAC	CHLT9	1.33401
METLZ	DIPOR	1.23914
SULMD	PENCH	1.12669
PELSI	STRPU	0.85560
THEPD	DEBHA	1.28370
BRARP	GEOSL	1.08189
COXBR	TREME	1.18393
CHICK	KLULA	1.11918
SYNJA	MUSPF	1.18179
MUSPF	DIPOR	0.15221
CIOIN	LODEL	1.11365
MUSPF	CHOHO	0.13133
PROMA	USTMA	1.12522
TRIEI	METCA	1.08716
TRYB2	PONAB	1.18349
CLAM3	TOXGO	1.13402
ICTTR	VERDA	1.11614
ACAM1	PROMA	0.78890
OTOGA	TUBMM	1.07280
USTMA	MICMU	1.04255
CLOTE	BRAFL	1.25352
IGNH4	CHLP6	1.32481
SARHA	NOSCE	1.18142
BATDE	NECHA	0.93265
PROMA	RUTMC	1.05250
ATETH	BRADI	0.92614
CONWI	GASAC	1.26822
TRIEI	MUSPF	1.24662
STRPU	YEAST	1.08066
BORPD	LEPMJ	1.24173
PEDHC	ASPFU	1.19069
METS5	CIOIN	1.35195
IXOSC	ENCCU	1.10474
XENTR	ENCCU	1.11054
CALMQ	COPPD	1.25499
METKA	APIME	1.24444
